gx(degree/s);gy(degree/s);gz(degree/s);inclinacionX;inclinacionY;time(s)
0.0153;0.1069;-0.0153;-83.9221;-2.7140;0.5024
-0.0305;0.0763;0.0000;-28.0834;-54.4024;0.5051
-0.0458;-0.0916;0.0000;-23.4541;-63.5770;0.5074
-0.0763;-0.0458;-0.0305;-32.2657;-47.6609;0.5097
-0.1527;0.1069;-0.0153;2.7771;-67.0071;0.5123
-0.0458;0.1832;0.0153;28.1775;-42.1464;0.5151
-0.1069;0.1527;-0.0916;41.4291;-47.3254;0.5174
-0.0458;0.3053;-0.0763;15.4407;-27.3788;0.5199
-0.0305;0.2137;0.0000;-1.6501;-11.6287;0.5224
-0.0611;0.1832;0.0153;-29.9633;-1.9081;0.5250
-0.0153;0.1679;0.0611;-18.1471;-31.2717;0.5272
-0.0458;0.0916;0.0305;-59.0362;-30.9638;0.5294
-0.0458;0.0000;0.0611;-49.0020;-20.6224;0.5318
0.2443;0.1221;0.0916;-1.8791;-48.9555;0.5347
0.0763;0.1374;0.1069;-14.5033;-73.7401;0.5371
-0.0458;0.1221;0.0611;-34.8048;-53.9601;0.5395
0.0763;0.1221;0.0305;-44.9009;-28.0725;0.5420
-0.0763;0.1069;0.0458;-32.8932;-11.7507;0.5447
-0.1069;0.0916;0.1069;-34.0589;-43.1962;0.5470
-0.0763;0.0000;0.0611;-23.4541;-44.1489;0.5494
-0.1221;0.0916;0.0611;-22.9898;-7.4805;0.5519
-0.1374;0.1679;0.0458;-31.3903;-58.4654;0.5546
-0.0305;0.0153;-0.0305;-51.0576;-26.3878;0.5575
-0.1069;0.0000;0.0458;-29.2014;-52.0098;0.5604
0.0611;0.0153;0.0305;-33.6343;-45.7908;0.5633
0.1527;0.0611;0.0458;-7.0009;-70.8412;0.5667
0.0611;0.1069;0.1069;-14.6077;-75.1863;0.5695
0.0000;0.1221;0.0763;-20.7935;-68.1965;0.5725
0.0153;-0.0611;0.0458;-46.1233;-11.1904;0.5756
0.0000;-0.1069;-0.1527;-58.6142;-22.5000;0.5786
0.0305;-0.0458;-0.1527;-60.5038;-20.3745;0.5813
0.0153;-0.0305;-0.0916;62.7340;-26.3878;0.5842
-0.0916;-0.0458;-0.0611;27.2497;-47.1039;0.5866
