ax(m/s);ay(m/s);az(m/s);accRMS(m/s);time(s)
-0.1018;-0.3940;9.8639;9.8723;101.8316
-0.1042;-0.3940;9.8423;9.8508;102.0868
-0.1078;-0.4000;9.8351;9.8439;102.3430
-0.1030;-0.3976;9.8256;9.8341;102.5982
-0.0958;-0.4000;9.8447;9.8533;102.8534
-0.1102;-0.4000;9.8507;9.8594;103.1088
-0.1066;-0.3940;9.8639;9.8723;103.3640
-0.1066;-0.4072;9.8507;9.8597;103.6193
-0.1018;-0.3988;9.8567;9.8653;103.8746
-0.1054;-0.4000;9.8543;9.8630;104.1298
-0.1006;-0.4000;9.8435;9.8522;104.3853
-0.1006;-0.4048;9.8447;9.8536;104.6407
-0.0994;-0.3940;9.8375;9.8459;104.8959
-0.1030;-0.3904;9.8375;9.8458;105.1512
-0.1054;-0.4024;9.8423;9.8511;105.4064
-0.0994;-0.3928;9.8579;9.8662;105.6616
-0.0994;-0.3976;9.8483;9.8568;105.9169
-0.0970;-0.3976;9.8483;9.8568;106.1724
-0.1078;-0.3976;9.8316;9.8402;106.4277
-0.1102;-0.3916;9.8507;9.8591;106.6829
-0.1042;-0.3976;9.8399;9.8485;106.9382
-0.1066;-0.4000;9.8411;9.8498;107.1934
-0.0982;-0.3976;9.8375;9.8461;107.4488
-0.0970;-0.4000;9.8471;9.8557;107.7040
-0.1078;-0.3952;9.8627;9.8712;107.9593
-0.1018;-0.4000;9.8579;9.8665;108.2146
-0.1066;-0.4000;9.8591;9.8678;108.4698
-0.1018;-0.4072;9.8459;9.8549;108.7251
-0.0994;-0.3976;9.8387;9.8473;108.9806
-0.1018;-0.4095;9.8423;9.8514;109.2358
-0.1006;-0.3964;9.8531;9.8616;109.4911
-0.1114;-0.4012;9.8483;9.8571;109.7464
-0.1054;-0.4036;9.8459;9.8548;110.0016
-0.1078;-0.3964;9.8471;9.8557;110.2569
-0.1066;-0.4012;9.8495;9.8583;110.5121
-0.1078;-0.3988;9.8531;9.8618;110.7674
-0.1090;-0.3964;9.8459;9.8545;111.0227
-0.1066;-0.3976;9.8459;9.8545;111.2779
-0.0970;-0.4060;9.8399;9.8488;111.5331
-0.1078;-0.4072;9.8387;9.8478;111.7884
-0.1078;-0.3976;9.8447;9.8533;112.0436
-0.0970;-0.4024;9.8459;9.8546;112.2992
-0.1030;-0.3988;9.8340;9.8426;112.5550
-0.1126;-0.4024;9.8531;9.8620;112.8102
-0.1066;-0.4000;9.8543;9.8630;113.0654
-0.0946;-0.3952;9.8483;9.8567;113.3210
-0.1198;-0.4072;9.8507;9.8599;113.5764
-0.1030;-0.3976;9.8591;9.8676;113.8316
-0.1078;-0.3892;9.8447;9.8530;114.0869
-0.0994;-0.3976;9.8567;9.8652;114.3421
-0.0958;-0.3976;9.8663;9.8748;114.5973
-0.1054;-0.4012;9.8423;9.8511;114.8525
-0.1090;-0.4012;9.8399;9.8487;115.1080
-0.0982;-0.4012;9.8567;9.8654;115.3632
-0.1066;-0.4012;9.8471;9.8559;115.6184
-0.1054;-0.3928;9.8483;9.8567;115.8737
-0.1114;-0.4048;9.8459;9.8549;116.1289
-0.1042;-0.4000;9.8519;9.8606;116.3849
-0.1054;-0.4072;9.8507;9.8597;116.6402
-0.1114;-0.3916;9.8435;9.8519;116.8954
-0.1078;-0.4036;9.8351;9.8440;117.1507
-0.0934;-0.4012;9.8471;9.8557;117.4059
-0.0994;-0.3988;9.8555;9.8641;117.6612
-0.0994;-0.3952;9.8423;9.8508;117.9164
-0.0994;-0.3952;9.8459;9.8544;118.1716
-0.1066;-0.4084;9.8375;9.8466;118.4268
-0.1138;-0.3928;9.8519;9.8604;118.6821
-0.1006;-0.4060;9.8531;9.8620;118.9374
-0.0982;-0.3940;9.8615;9.8698;119.1926
-0.1006;-0.4024;9.8423;9.8511;119.4479
-0.1150;-0.4072;9.8471;9.8562;119.7031
-0.1030;-0.3964;9.8663;9.8748;119.9584
-0.0994;-0.4036;9.8316;9.8403;120.2136
-0.1066;-0.3964;9.8280;9.8365;120.4689
-0.1042;-0.4036;9.8411;9.8500;120.7241
-0.1042;-0.4012;9.8507;9.8594;120.9917
-0.1090;-0.3928;9.8483;9.8568;121.2505
-0.1054;-0.4048;9.8447;9.8536;121.5092
-0.1030;-0.3940;9.8411;9.8496;121.7679
-0.1102;-0.3892;9.8459;9.8542;122.0265
-0.1090;-0.4024;9.8483;9.8571;122.2851
-0.1018;-0.4012;9.8387;9.8474;122.5440
-0.1054;-0.4012;9.8459;9.8547;122.8026
