ax(g);ay(g);az(g);accRMS(g);time(s)
-0.0020;-0.0029;0.0032;0.0047;0.3814
-0.0010;-0.0059;0.0027;0.0065;0.3823
-0.0024;0.0010;-0.0015;0.0030;0.3832
-0.0005;-0.0007;-0.0046;0.0047;0.3841
0.0002;-0.0010;-0.0010;0.0014;0.3849
-0.0002;0.0012;0.0022;0.0025;0.3858
0.0015;0.0063;0.0017;0.0067;0.3875
-0.0007;0.0027;0.0029;0.0040;0.3884
0.0005;-0.0010;0.0010;0.0015;0.3893
-0.0002;-0.0022;-0.0005;0.0023;0.3901
0.0017;0.0044;-0.0039;0.0061;0.3910
0.0005;0.0027;-0.0017;0.0032;0.3919
0.0090;-0.0029;0.0000;0.0095;0.3928
0.0020;-0.0051;-0.0015;0.0057;0.3944
0.0024;0.0000;-0.0068;0.0073;0.3953
0.0027;-0.0015;0.0034;0.0046;0.3962
0.0024;0.0012;0.0093;0.0097;0.3971
0.0002;0.0027;0.0051;0.0058;0.3979
0.0029;0.0017;0.0032;0.0046;0.3988
-0.0027;-0.0012;-0.0046;0.0055;0.4005
-0.0042;0.0022;-0.0032;0.0057;0.4013
-0.0005;0.0020;0.0066;0.0069;0.4022
0.0029;0.0059;-0.0022;0.0069;0.4031
-0.0012;0.0039;0.0063;0.0076;0.4043
-0.0015;-0.0042;0.0042;0.0060;0.4055
0.0044;-0.0071;-0.0029;0.0088;0.4066
-0.0007;-0.0051;-0.0020;0.0055;0.4077
0.0005;0.0037;0.0034;0.0050;0.4088
0.0007;0.0027;-0.0103;0.0106;0.4100
-0.0039;-0.0015;-0.0017;0.0045;0.4111
-0.0073;-0.0029;-0.0044;0.0090;0.4122
-0.0032;-0.0037;-0.0010;0.0049;0.4134
0.0017;0.0005;0.0000;0.0018;0.4146
0.0024;0.0039;-0.0017;0.0049;0.4157
-0.0029;-0.0017;-0.0051;0.0061;0.4168
-0.0020;-0.0059;-0.0081;0.0102;0.4180
-0.0027;-0.0125;-0.0071;0.0146;0.4191
0.0015;0.0020;-0.0046;0.0052;0.4202
-0.0044;0.0024;0.0049;0.0070;0.4214
-0.0017;-0.0029;0.0010;0.0035;0.4225
-0.0042;-0.0017;-0.0071;0.0084;0.4236
0.0029;0.0034;0.0017;0.0048;0.4248
0.0032;0.0000;-0.0007;0.0033;0.4259
0.0027;-0.0007;-0.0046;0.0054;0.4270
-0.0015;-0.0044;-0.0059;0.0075;0.4282
0.0024;0.0037;-0.0012;0.0046;0.4293
-0.0078;0.0054;-0.0029;0.0099;0.4304
0.0002;0.0015;-0.0032;0.0035;0.4316
0.0056;0.0010;-0.0010;0.0058;0.4329
